,Name,Yrs_College,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
0,Lawrence Moten,4,Syracuse,Big East,30,35.3,7.0,15.2,.459,5.0,9.3,.543,1.9,5.9,.328,3.8,5.1,.743,4.2,3.3,1.8,0.3,3.0,1.9,19.6,7.20
0,Frankie King,2,Western Carolina,Southern,28,37.0,8.9,18.6,.479,7.0,13.8,.510,1.9,4.8,.388,6.9,8.3,.832,7.3,3.4,1.5,0.5,4.0,2.6,26.5,-2.86
0,Donny Marshall,4,UConn,Big East,32,30.5,5.4,11.8,.456,4.7,9.0,.519,0.8,2.9,.261,4.3,5.1,.829,5.8,1.4,1.2,0.2,2.3,2.3,15.8,7.41
0,Dwayne Whitfield,3,Jackson State,SWAC,26,31.5,7.5,12.2,.610,7.5,12.1,.616,0.0,0.1,.000,4.7,7.5,.621,10.5,0.6,0.5,1.0,3.6,3.1,19.6,-5.81
0,Donnie Boyce,4,Colorado,Big 8,26,30.8,6.0,14.8,.409,4.4,9.7,.458,1.6,5.1,.316,4.8,6.8,.706,6.5,4.1,2.5,1.1,3.0,2.9,18.5,7.44
0,Eric Snow,4,Michigan State,Big Ten,28,32.7,4.2,8.0,.520,3.9,7.2,.547,0.3,0.9,.292,2.2,3.6,.608,3.3,7.8,1.9,0.1,3.1,2.8,10.8,7.88
0,Tyus Edney,4,UCLA,Pac-10,32,30.5,4.6,9.2,.497,3.8,7.1,.531,0.8,2.1,.379,4.3,5.7,.764,3.1,6.8,2.3,0.2,2.9,2.5,14.3,10.08
0,Mark Davis,2,Texas Tech,SWC,30,32.4,6.6,13.3,.499,6.0,11.3,.528,0.7,2.0,.333,3.4,5.5,.614,8.5,4.7,1.7,1.2,3.5,3.4,17.3,1.97
0,Jerome Allen,4,Penn,Ivy,28,33.4,5.1,11.9,.429,3.6,7.3,.500,1.5,4.6,.318,3.0,4.2,.712,4.8,5.7,1.3,0.1,2.3,1.1,14.7,-5.38
0,Fred Hoiberg,4,Iowa State,Big 8,34,36.8,6.1,13.9,.438,3.5,7.6,.459,2.6,6.4,.412,5.1,5.9,.861,5.6,2.2,1.1,0.1,1.9,1.3,19.9,9.70
0,Michael McDonald,3,New Orleans,Sun Belt,29,27.2,4.5,7.8,.573,4.5,7.8,.575,0.0,0.0,.000,2.1,3.7,.585,9.7,0.8,0.9,2.8,2.5,3.3,11.1,-2.49
0,Chris Carr,3,Southern Illinois,MVC,32,33.4,7.8,16.3,.480,6.6,13.1,.500,1.3,3.2,.396,5.2,6.7,.771,7.3,2.1,1.6,0.5,3.2,3.0,22.0,3.34
0,Cuonzo Martin,4,Purdue,Big Ten,32,30.0,6.0,13.7,.439,3.2,7.6,.416,2.8,6.1,.469,3.6,4.5,.799,3.9,2.2,0.7,0.2,1.5,1.1,18.4,5.72
0,Don Reid,4,Georgetown,Big East,31,23.6,2.8,4.8,.595,2.8,4.8,.595,0.0,0.0,,1.5,2.9,.516,5.7,0.8,1.0,1.9,1.4,3.6,7.2,6.41
0,Allen Iverson,2,Georgetown,Big East,37,32.8,8.4,17.6,.480,6.1,11.1,.546,2.4,6.4,.366,5.8,8.6,.678,3.8,4.7,3.4,0.4,3.8,2.4,25.0,9.83
0,Marcus Camby,3,UMass,A-10,33,30.6,7.8,16.3,.477,7.8,16.0,.484,0.0,0.2,.000,4.9,7.1,.700,8.2,1.8,1.0,3.9,2.5,2.6,20.5,8.92
0,Shareef Abdur-Rahim,1,California,Pac-10,28,34.7,7.4,14.2,.518,7.1,13.5,.525,0.3,0.8,.381,6.1,8.9,.683,8.4,1.0,1.9,1.3,3.1,2.1,21.1,6.44
0,Stephon Marbury,1,Georgia Tech,ACC,36,37.4,6.5,14.3,.457,4.1,7.7,.533,2.4,6.6,.370,3.4,4.6,.738,3.1,4.5,1.8,0.1,3.2,2.3,18.9,12.71
0,Ray Allen,3,UConn,Big East,35,31.4,8.3,17.7,.472,5.1,10.6,.477,3.3,7.1,.466,3.4,4.2,.810,6.5,3.3,1.7,0.5,2.3,1.3,23.4,8.19
0,Antoine Walker,2,Kentucky,SEC,36,27.0,6.3,13.7,.463,6.1,12.3,.493,0.3,1.3,.188,2.3,3.6,.631,8.4,2.9,1.7,0.7,2.5,2.4,15.2,10.06
0,Lorenzen Wright,2,Memphis,CUSA,30,35.3,6.9,12.7,.542,6.9,12.7,.543,0.0,0.0,.000,3.6,5.6,.645,10.4,1.2,1.3,2.0,1.9,2.6,17.4,6.58
0,Kerry Kittles,4,Villanova,Big East,30,35.3,7.2,15.8,.455,4.6,9.4,.489,2.6,6.4,.404,3.4,4.8,.710,7.1,3.5,2.4,0.4,1.8,1.5,20.4,11.46
0,Samaki Walker,2,Louisville,CUSA,21,30.2,5.9,9.9,.599,5.9,9.8,.602,0.0,0.0,.000,3.3,5.4,.614,7.5,1.1,0.8,2.0,2.3,2.5,15.1,9.84
0,Erick Dampier,3,Mississippi State,SEC,34,32.7,5.7,10.4,.551,5.7,10.4,.551,0.0,0.0,,3.1,5.0,.612,9.3,2.3,0.5,3.1,2.7,2.5,14.5,8.73
0,Todd Fuller,4,NC State,ACC,31,33.7,7.3,14.4,.506,6.7,13.0,.520,0.5,1.4,.372,5.9,7.4,.799,9.9,1.3,0.3,1.8,2.3,1.5,20.9,7.98
0,Vitaly Potapenko,2,Wright State,MW Coll,26,31.0,7.6,12.6,.604,7.6,12.4,.612,0.0,0.2,.167,5.4,7.6,.716,7.4,1.4,0.4,0.7,3.9,3.7,20.7,-0.49
0,Steve Nash,4,Santa Clara,WCC,29,33.8,5.7,13.1,.430,3.5,6.8,.510,2.2,6.3,.344,3.5,3.9,.894,3.6,6.0,1.3,0.0,3.6,1.5,17.0,4.09
0,Tony Delk,4,Kentucky,SEC,36,26.3,6.4,12.9,.494,3.8,7.1,.535,2.6,5.8,.443,2.4,3.1,.800,4.2,1.8,1.9,0.4,1.8,2.0,17.8,10.06
0,John Wallace,4,Syracuse,Big East,38,36.3,7.7,15.8,.489,6.7,13.4,.501,1.0,2.3,.420,5.8,7.7,.763,8.7,2.4,1.2,1.7,3.2,2.5,22.2,11.35
0,Walter McCarty,3,Kentucky,SEC,36,24.7,4.2,7.8,.543,3.4,6.1,.564,0.8,1.7,.467,2.1,2.9,.721,5.7,2.6,1.2,1.4,2.3,3.3,11.3,10.06
0,Dontae' Jones,1,Mississippi State,SEC,33,30.5,6.0,12.7,.474,5.3,10.2,.516,0.7,2.5,.296,1.9,2.6,.744,6.8,1.9,1.1,0.9,2.2,2.8,14.7,8.73
0,Roy Rogers,4,Alabama,SEC,32,36.7,5.8,11.1,.524,5.8,11.1,.525,0.0,0.0,.000,1.9,3.1,.622,9.3,0.9,0.7,4.9,1.9,2.3,13.5,6.13
0,Derek Fisher,4,Little Rock,Sun Belt,30,36.0,4.3,10.4,.410,2.6,6.1,.429,1.7,4.3,.385,4.2,5.6,.746,5.2,5.1,1.9,0.1,2.7,2.1,14.5,-1.03
0,Jerome Williams,2,Georgetown,Big East,37,27.5,4.0,6.8,.588,3.9,6.6,.601,0.0,0.2,.143,2.3,3.6,.639,8.8,1.4,1.9,0.4,1.9,1.8,10.3,9.83
